1,10686,Organiczne pozostałości pofermentacyjne [nawóz]
1,10027,Osłabiacze fotograficzne
1,10087,Paliwo do reaktorów jądrowych
1,10036,Papier białkowany
1,10245,Papier do światłokopii
1,10417,Papier fotometryczny
1,10103,Papier nasączony barem
1,10259,Papier odczynnikowy, inny niż do celów medycznych lub weterynaryjnych
1,10322,Papier światłoczuły
1,10665,Pektyna dla przemysłu spożywczego
1,10420,Pektyna do celów fotograficznych
1,10666,Pektyna do celów przemysłowych
1,10467,Piasek formierski
1,10456,Pierwiastki radioaktywne do celów naukowych
1,10439,Plastizole
1,10143,Plastyfikatory
1,10442,Pluton (Pu)
1,10212,Płótno światłoczułe do fotografii
1,10072,Płyn przeciw zamarzaniu
1,10197,Płyny do obwodów hydraulicznych
1,10500,Płyny do odsiarczania akumulatorów elektrycznych
1,10643,Płyny do układu kierowniczego ze wspomaganiem
1,10315,Płyny hamulcowe
1,10004,Płyny wspomagające do materiałów ściernych
1,10292,Płytki do ferrotypia [fotografika]
1,10213,Płytki fotograficzne światłoczułe
1,10332,Pochłaniacze gazów [substancje aktywne]
1,10111,Pochodne benzenu
1,10592,Pochodne celulozy [chemikalia]
1,10360,Podchloryn sodu
1,10589,Podłoża dla upraw bezglebowych [rolnictwo]
1,10641,Pokrycia humusowe
1,10718,Polimery na bazie dendrymerów do użytku w produkcji kapsułek do produktów farmaceutycznych
1,10443,Polon (Po)
1,10447,Potas (K)
1,10446,Potaż
1,10708,Powłoki chemiczne do soczewek okulistycznych
1,10449,Prazeodym (Pr)
1,10260,Preparaty antystatyczne, inne niż do użytku domowego
1,10009,Preparaty bakteriologiczne do octowania
1,10595,Preparaty bakteriologiczne, inne niż do użytku medycznego i weterynaryjnego
1,10594,Preparaty bakteryjne, inne niż do użytku medycznego i weterynaryjnego
1,10521,Preparaty chemiczne do barwienia szkła
1,10177,Preparaty chemiczne do celów naukowych, inne niż do celów medycznych lub weterynaryjnych
1,10364,Preparaty chemiczne do impregnacji wodoodpornej skór
1,10015,Preparaty chemiczne do kondensacji
1,10487,Preparaty chemiczne do lutowania
1,10265,Preparaty chemiczne do matowienia emalii
1,10648,Preparaty chemiczne do przepłukiwania grzejników
1,10575,Preparaty chemiczne do wytwarzania farb
1,10719,Preparaty chemiczne do zapobiegania chorobom u roślin zbożowych
1,10395,Preparaty chemiczne do zapobiegania pleśni
1,10286,Preparaty chemiczne do zapobiegania powstawaniu plam na tkaninach
1,10523,Preparaty chemiczne przeciw matowieniu szkła
1,10045,Preparaty chemiczne ułatwiające stapianie metali
1,10404,Preparaty chemiczne zabezpieczające przed śniecią zbożową
1,10522,Preparaty chemiczne zapobiegające matowieniu szkła
1,10459,Preparaty chłodnicze
1,10243,Preparaty diagnostyczne, inne niż do celów medycznych lub weterynaryjnych
1,10582,Preparaty do destylacji spirytusu drzewnego
1,10324,Preparaty do galwanizacji
1,10254,Preparaty do klarowania
1,10200,Preparaty do klarowania moszczu
1,10205,Preparaty do klarowania wina
1,10270,Preparaty do klejenia
1,10381,Preparaty do konserwacji cegły [z wyjątkiem farb i olejów]
1,10145,Preparaty do konserwacji gumy
1,10540,Preparaty do konserwacji płytek [z wyjątkiem farb i olejów]
1,10137,Preparaty do lutowania
1,10017,Preparaty do obróbki wykończeniowej stali
1,10275,Preparaty do oczyszczania gazu
1,10234,Preparaty do odgumowywania
1,10232,Preparaty do odklejania i odłączania
1,10393,Preparaty do odpuszczania metali
1,10231,Preparaty do odtłuszczania stosowane w procesach produkcyjnych
1,10257,Preparaty do oszczędzania paliwa
1,10169,Preparaty do oszczędzania węgla
1,10256,Preparaty do produkcji światła błyskowego
1,10634,Preparaty do regulacji wzrostu roślin
1,10240,Preparaty do usuwania kamienia kotłowego
1,10635,Preparaty do usuwania kamienia kotłowego, inne niż do użytku domowego
1,10249,Preparaty do utwardzania metali
1,10293,Preparaty do użyźniania
1,10317,Preparaty do wędzenia mięsa
1,10549,Preparaty do wulkanizacji
1,10580,Preparaty do wybielania [środki odbarwiające] do celów przemysłowych
1,10215,Preparaty do wyprawiania skór
1,10208,Preparaty do wyprawiania skór, oprócz olejów
1,10545,Preparaty do zmiękczania mięsa do celów przemysłowych
1,10660,Preparaty enzymatyczne dla przemysłu spożywczego
1,10272,Preparaty enzymatyczne do celów przemysłowych
1,10296,Preparaty filtracyjne do przemysłu napojowego
1,10313,Preparaty folarskie
